tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:17:14:52:00.00	20.4		g	-45.8	3.239e-08	35	4	u	2.730e+02	SAN	0	0	0	0	7.930e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	1.0	2011:10:18:08:35:00.00	20.8		g	-43.1	2.640e-08	36	4	u	2.730e+02	SAN	0	0	0	0	8.030e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:18:10:26:00.00	341.7		g	-87.4	3.680e-07	37	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.830e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:18:12:21:00.00	1.9		g	-88.3	3.687e-07	38	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	8.030e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:18:14:14:00.00	10.0		g	-87.1	3.896e-07	39	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	8.130e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:19:08:33:00.00	20.0		g	-52.9	2.579e-08	40	4	u	2.730e+02	SAN	0	0	0	0	8.130e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.6	2011:10:19:10:23:00.00	18.9		g	-50.5	1.857e-08	41	4	u	2.730e+02	SAN	0	0	0	0	8.230e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:19:12:12:00.00	215.8		g	-88.9	3.778e-07	42	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	8.030e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:19:14:05:00.00	318.2		g	-88.8	4.076e-07	43	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	8.230e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:20:10:53:00.00	285.2		g	-88.8	4.318e-07	44	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	8.330e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:20:12:57:00.00	12.5		g	-65.2	1.884e-08	45	4	u	2.730e+02	SAN	0	0	0	0	8.330e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:21:08:49:00.00	354.9		g	-56.0	5.825e-09	46	4	u	2.730e+02	SAN	0	0	0	0	8.430e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201b		su100201b:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.5	2011:10:04:07:02:00.00	252.8		g	-27.4	6.990e-07	1	4	u	2.730e+02	SAN	0	0	0	0	2.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201b		su100201b:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.5	2011:10:04:10:04:00.00	255.6		g	-28.5	6.783e-07	2	4	u	2.730e+02	SAN	0	0	0	0	3.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201b		su100201b:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.5	2011:10:04:11:39:00.00	256.1		g	-32.4	6.944e-07	3	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	3.730e+02
