tab	rmag_results
er_specimen_names	er_sample_name	er_site_name	anisotropy_type	magic_method_codes	magic_experiment_names	result_description	anisotropy_t1	anisotropy_t2	anisotropy_t3	anisotropy_ftest	anisotropy_ftest12	anisotropy_ftest23	anisotropy_v1_dec	anisotropy_v1_inc	anisotropy_v2_dec	anisotropy_v2_inc	anisotropy_v3_dec	anisotropy_v3_inc
su100202d	su100202	su1l001	ATRM	LP-AN-TRM:AE-H	su100202d:ATRM	Critical F: 3.1059	0.474575	0.378662	0.146763	13.804716	2.794152	16.333987	50.7	-2.4	95.8	86.5	140.8	-2.5
su100202e	su100202	su1l001	ATRM	LP-AN-TRM:AE-H	su100202e:ATRM	Critical F: 3.1059	0.353683	0.333822	0.312495	1.650677	0.959162	1.105925	232.3	-53.8	248.5	35.1	333.0	-7.8
su100202a	su100202	su1l001	AARM	LP-AN-ARM:AE-H	su100202a:AARM	Critical F: 2.6848	0.354493	0.325843	0.319665	1.054316	1.566334	0.072825	17.9	-5.7	100.8	51.0	292.5	38.5
su100202b	su100202	su1l001	AARM	LP-AN-ARM:AE-H	su100202b:AARM	Critical F: 2.6848	0.358863	0.324176	0.316960	0.906023	1.357610	0.058754	34.5	-6.7	110.1	64.7	307.5	24.3
su109801a	su109801	su1l301	ATRM	LP-AN-TRM:AE-H	su109801a:ATRM	Critical F: 3.1059	0.393491	0.347053	0.259456	37.357133	10.868983	38.673308	269.8	8.5	168.2	53.4	185.9	-35.3
su110701d	su110701	su1l403	ATRM	LP-AN-TRM:AE-H	su110701d:ATRM	Critical F: 3.1059	0.371645	0.358099	0.270257	68.230712	2.582596	108.602167	101.0	0.2	190.7	-53.4	191.1	36.6
su110701d	su110701	su1l403	AARM	LP-AN-ARM:AE-H	su110701d:AARM	Critical F: 2.6848	0.357061	0.338027	0.304913	3.886599	1.263824	3.824992	253.9	-20.6	324.2	41.9	183.0	41.0
su110701g	su110701	su1l403	ATRM	LP-AN-TRM:AE-H	su110701g:ATRM	Critical F: 3.1059	0.433957	0.387643	0.178400	265.056353	19.166825	391.220005	198.3	29.0	353.8	58.7	282.2	-10.8
su110701g	su110701	su1l403	AARM	LP-AN-ARM:AE-H	su110701g:AARM	Critical F: 2.6848	0.405235	0.368010	0.226755	18.814234	1.837921	26.464512	204.3	50.0	176.4	-36.5	277.1	-14.0
su110701a	su110701	su1l403	ATRM	LP-AN-TRM:AE-H	su110701a:ATRM	Critical F: 3.1059	0.354902	0.330286	0.314812	2.325707	2.154747	0.851395	239.4	-33.8	187.2	42.5	307.6	28.9
