tab 	pmag_specimens
direction_type	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_Z	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drat	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_grade	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc	specimen_tilt_correction
l	unknown	This study	McMurdo	mc215d	mc215	mc215d1	mc215d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	5.730e+02	K	0.0	-0.394	0.283	0.112	u	7.8	6.2		l	23.1	10.0	0.762	0.317	0.7		-41.9	1.1825e-05	14.7	9	5	3.000e-05	4	2.2	0.5179	-1
l	unknown	This study	McMurdo	mc215h	mc215	mc215h1	mc215h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	7.230e+02	K	0.0	-0.567	0.148	0.084	u	0.9	14.8		l	13.2	5.9	0.555	0.330	3.9		-80.1	1.7010e-05	4.3	6	5	3.000e-05	4	2.8	0.9144	-1
l	unknown	This study	McMurdo	mc216a	mc216	mc216a1	mc216a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	6.230e+02	K	0.0	-0.158	0.176	0.028	u	3.1	43.4		l	21.5	33.3	0.764	0.228	4.2		-78.1	4.7359e-06	7.0	8	5	3.000e-05	3	3.4	0.8235	-1
l	unknown	This study	McMurdo	mc216b	mc216	mc216b1	mc216b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	6.230e+02	K	0.0	-0.184	0.162	0.030	u	2.2	338.4		l	19.6	36.7	0.754	0.258	1.3		-87.0	5.5174e-06	5.0	8	5	3.000e-05	4	3.6	0.8489	-1
l	unknown	This study	McMurdo	mc216c	mc216	mc216c1	mc216c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	6.230e+02	K	0.0	-0.140	0.244	0.034	u	9.7	339.2		l	27.7	38.4	0.725	0.187	3.3		-80.0	4.2052e-06	8.0	8	5	3.000e-05	4	2.2	0.6753	-1
l	unknown	This study	McMurdo	mc217a	mc217	mc217a1	mc217a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.902	0.008	0.007	u	0.9	16.1		l	1.8	1.5	0.975	0.940	6.7		-7.7	2.7057e-05	1.6	11	5	3.000e-05	0	95.9	0.9994	-1
l	unknown	This study	McMurdo	mc217b	mc217	mc217b1	mc217b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.865	0.009	0.008	u	0.2	7.8		l	1.4	1.7	0.981	0.943	7.9		1.0	2.5935e-05	1.9	11	5	3.000e-05	2	86.1	0.9993	-1
l	unknown	This study	McMurdo	mc217c	mc217	mc217c1	mc217c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.195	0.025	0.030	u	0.6	10.0		l	2.6	3.2	0.945	0.960	7.9		-6.0	3.5863e-05	1.8	11	5	3.000e-05	10	30.4	0.9942	-1
l	unknown	This study	McMurdo	mc217d	mc217	mc217d1	mc217d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	5.730e+02	K	0.0	-0.964	0.011	0.010	u	1.0	352.4		l	1.6	3.2	0.862	0.841	4.5		-1.2	2.8920e-05	2.0	9	5	3.000e-05	3	54.0	0.9992	-1
l	unknown	This study	McMurdo	mc217e	mc217	mc217e1	mc217e1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.148	0.013	0.015	u	0.7	3.1		l	3.8	0.1	0.982	0.958	1.1		-5.5	3.4446e-05	2.2	11	5	3.000e-05	4	59.6	0.9985	-1
l	unknown	This study	McMurdo	mc218a	mc218	mc218a1	mc218a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.232	0.038	0.047	u	6.0	0.3		l	5.5	5.5	0.966	0.915	3.9		2.0	3.6967e-05	3.9	9	5	3.000e-05	0	19.4	0.9899	-1
l	unknown	This study	McMurdo	mc218b	mc218	mc218b1	mc218b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-FTEST:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	1.6	-1.113	0.039	0.043	u	5.4	347.0		l	5.0	5.2	0.962	0.930	2.9		4.2	3.3388e-05	3.6	9	5	3.000e-05	0	19.1	0.9894	-1
l	unknown	This study	McMurdo	mc218d	mc218	mc218d1	mc218d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.193	0.030	0.035	u	5.6	346.7		l	4.1	5.7	0.956	0.925	2.4		2.8	3.5802e-05	3.2	9	5	3.000e-05	0	24.9	0.9938	-1
l	unknown	This study	McMurdo	mc218i	mc218	mc218i1	mc218i1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.018	0.020	0.020	u	5.1	0.4		l	2.8	0.2	0.952	0.937	1.6		-46.7	3.0540e-05	2.8	9	5	3.000e-05	1	37.1	0.9973	-1
l	unknown	This study	McMurdo	mc218j	mc218	mc218j1	mc218j1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	1.0	-1.161	0.029	0.034	u	2.9	3.7		l	5.6	1.9	0.983	0.934	2.8		-39.2	3.4821e-05	2.6	11	5	3.000e-05	1	26.6	0.9923	-1
l	unknown	This study	McMurdo	mc219a	mc219	mc219a1	mc219a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	2.5	-1.114	0.132	0.147	u	2.6	192.6		l	2.5	0.7	1.080	0.876	4.1		19.6	3.3416e-05	3.3	11	5	3.000e-05	6	7.0	0.8487	-1
