tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_class	sample_core_depth	sample_lat	sample_lithology	sample_lon	sample_type
This study	DSDP Site 522	15-2-128	15-2-128	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.88	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-132	15-2-132	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.91	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-135	15-2-135	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.94	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-138	15-2-138	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.97	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-141	15-2-141	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-143	15-2-143	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.03	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-147	15-2-147	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.06	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-150	15-2-150	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.09	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-001	15-3-001	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.1	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-004	15-3-004	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.14	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-007	15-3-007	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.17	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-010	15-3-010	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.2	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-013	15-3-013	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.23	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-015	15-3-015	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.25	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-019	15-3-019	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.29	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-022	15-3-022	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.32	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-025	15-3-025	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.34	-27	Not Specified	355	Sediment Layer
